Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
365,Leprosy,KOR,2000,BTSX,ALLAges,47400000,26.2,0.06,318.77,0.67
50,Syphilis,KOR,2000,BTSX,ALLAges,47400000,26.46,0.06,1781.52,3.76
811,Thalassaemias,KOR,2000,BTSX,ALLAges,47400000,29.52,0.06,4222.23,8.91
755,Mesothelioma,KOR,2000,BTSX,ALLAges,47400000,24.33,0.05,750.63,1.58
742,Testicular cancer,KOR,2000,BTSX,ALLAges,47400000,21.76,0.05,1125.09,2.37
180,Encephalitis,KOR,2000,BTSX,ALLAges,47400000,25.01,0.05,3261.2,6.88
980,Multiple sclerosis,KOR,2000,BTSX,ALLAges,47400000,25.5,0.05,2286.34,4.82
880,Anxiety disorders,KOR,2000,BTSX,ALLAges,47400000,18,0.04,168836.8,356.2
840,Bipolar disorder,KOR,2000,BTSX,ALLAges,47400000,12.32,0.03,56448.48,119.09
1370,Gout,KOR,2000,BTSX,ALLAges,47400000,13.78,0.03,10015.09,21.13
150,Measles,KOR,2000,BTSX,ALLAges,47400000,13.34,0.03,1157.6,2.44
160,Tetanus,KOR,2000,BTSX,ALLAges,47400000,11.75,0.02,254.63,0.54
1030,Glaucoma,KOR,2000,BTSX,ALLAges,47400000,7.31,0.02,4757.72,10.04
1040,Cataracts,KOR,2000,BTSX,ALLAges,47400000,4.64,0.01,10665.7,22.5
1470,Oral conditions,KOR,2000,BTSX,ALLAges,47400000,6.74,0.01,107183.5,226.13
1630,Collective violence and legal intervention,KOR,2000,BTSX,ALLAges,47400000,5.28,0.01,405.48,0.86
1050,Uncorrected refractive errors,KOR,2000,BTSX,ALLAges,47400000,0,0,131150,276.69
1060,Macular degeneration,KOR,2000,BTSX,ALLAges,47400000,0,0,2790.78,5.89
1070,Other vision loss,KOR,2000,BTSX,ALLAges,47400000,0,0,42322.49,89.29
1080,Other hearing loss,KOR,2000,BTSX,ALLAges,47400000,0,0,156153.8,329.44
990,Migraine,KOR,2000,BTSX,ALLAges,47400000,1.03,0,151601.6,319.83
1000,Non-migraine headache,KOR,2000,BTSX,ALLAges,47400000,0,0,32146.72,67.82
890,Eating disorders,KOR,2000,BTSX,ALLAges,47400000,0,0,32585.54,68.75
900,Autism and Asperger syndrome,KOR,2000,BTSX,ALLAges,47400000,0,0,38985.54,82.25
910,Childhood behavioural disorders,KOR,2000,BTSX,ALLAges,47400000,0,0,31985.32,67.48
1290,Urolithiasis,KOR,2000,BTSX,ALLAges,47400000,0.04,0,2047.45,4.32
1310,Infertility,KOR,2000,BTSX,ALLAges,47400000,0,0,10963.61,23.13
1320,Gynecological diseases,KOR,2000,BTSX,ALLAges,47400000,0,0,123955.5,261.51
140,Diphtheria,KOR,2000,BTSX,ALLAges,47400000,0.08,0,7.33,0.02
60,Chlamydia,KOR,2000,BTSX,ALLAges,47400000,0,0,1963.32,4.14
70,Gonorrhoea,KOR,2000,BTSX,ALLAges,47400000,1.08,0,850.39,1.79
80,Trichomoniasis,KOR,2000,BTSX,ALLAges,47400000,0,0,1270.86,2.68
85,Genital herpes,KOR,2000,BTSX,ALLAges,47400000,0,0,1703.52,3.59
200,Acute hepatitis C,KOR,2000,BTSX,ALLAges,47400000,0.12,0,41.38,0.09
205,Acute hepatitis E,KOR,2000,BTSX,ALLAges,47400000,1.18,0,146.04,0.31
220,Malaria,KOR,2000,BTSX,ALLAges,47400000,0,0,333.37,0.7
230,African trypanosomiasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
240,Chagas disease,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
250,Schistosomiasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
260,Leishmaniasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
270,Lymphatic filariasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
280,Onchocerciasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
300,Dengue,KOR,2000,BTSX,ALLAges,47400000,1.08,0,57.06,0.12
310,Trachoma,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
315,Yellow fever,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
410,Otitis media,KOR,2000,BTSX,ALLAges,47400000,1.32,0,8753.53,18.47
340,Ascariasis,KOR,2000,BTSX,ALLAges,47400000,1.06,0,26.59,0.06
350,Trichuriasis,KOR,2000,BTSX,ALLAges,47400000,0,0,0,0
360,Hookworm disease,KOR,2000,BTSX,ALLAges,47400000,0,0,1167.38,2.46
362,Food-bourne trematodes,KOR,2000,BTSX,ALLAges,47400000,0,0,10629.61,22.43
812,Sickle cell disorders and trait,KOR,2000,BTSX,ALLAges,47400000,1.87,0,817.72,1.73
830,Depressive disorders,KOR,2000,BTSX,ALLAges,47400000,0,0,167991.8,354.41
560,Iodine deficiency,KOR,2000,BTSX,ALLAges,47400000,0,0,1601.41,3.38
570,Vitamin A deficiency,KOR,2000,BTSX,ALLAges,47400000,0,0,240.08,0.51
